file,theorem,kind,n_lemmas,axis1,axis2,verified,lemmas
britton_via_tower__lemma_subgroup_right_cancel,_tactus_precondition_britton_via_tower.lemma_subgroup_right_cancel_at_britton_via_tower_2895_5_6,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_subgroup_right_cancel,_tactus_precondition_britton_via_tower.lemma_subgroup_right_cancel_at_britton_via_tower_2897_5_8,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_textbook_base_case,_tactus_postcondition_britton_via_tower.lemma_textbook_base_case_at_britton_via_tower_5299_9_6,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_textbook_base_case,_tactus_precondition_britton_via_tower.lemma_textbook_base_case_at_britton_via_tower_5304_10_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_textbook_base_case,_tactus_precondition_britton_via_tower.lemma_textbook_base_case_at_britton_via_tower_5305_5_5,precondition,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;not_false_eq_true
cohen_bridge__lemma_C_faithful_printable_canonical,_tactus_postcondition_cohen_bridge.lemma_C_faithful_printable_canonical_at_cohen_bridge_136_9_5,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_bridge__lemma_C_faithful_printable_canonical,_tactus_precondition_cohen_bridge.lemma_C_faithful_printable_canonical_at_cohen_bridge_140_5_4,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs5__lemma_cs5_wbc_split_pred,_tactus_postcondition_cohen_cs5.lemma_cs5_wbc_split_pred_at_cohen_cs5_532_9_5,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs5_recog__lemma_db_proj_fixes_config,_tactus_precondition_cohen_cs5_recog.lemma_db_proj_fixes_config_at_cohen_cs5_recog_1603_5_4,precondition,14,DERIVABLE,REWRITE-CLOSURE(core-extended)+omega,omega-tail,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;forall_const;Int.ofNat_zero_le
cohen_cs5_recog__lemma_db_proj_fixes_config,_tactus_precondition_cohen_cs5_recog.lemma_db_proj_fixes_config_at_cohen_cs5_recog_1604_5_6,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
